Frame	Brake	GazeX	GazeY
10001	0	479	126
10002	0	466	126
10003	0	471	131
10004	0	470	123
10005	0	483	123
10006	0	472	117
10007	0	467	127
10008	0	470	125
10009	0	476	129
10010	0	471	128
10011	0	469	133
10012	0	466	130
10013	0	477	129
10014	0	550	115
10015	0	588	115
10016	0	597	118
10017	0	600	115
10018	0	609	116
10019	0	601	115
10020	0	601	117
10021	0	602	113
10022	0	600	112
10023	0	602	112
10024	0	594	113
10025	0	610	109
10026	0	603	109
10027	0	610	108
10028	0	609	109
10029	0	605	105
10030	0	612	106
10031	0	620	111
10032	0	612	113
10033	0	611	108
10034	0	606	108
10035	0	603	112
10036	0	599	109
10037	0	604	109
10038	0	574	109
10039	0	491	111
10040	0	466	120
10041	0	484	128
10042	0	469	124
10043	0	460	118
10044	0	457	117
10045	0	464	118
10046	0	463	121
10047	0	456	121
10048	0	459	118
10049	0	450	122
10050	0	450	122
10051	0	448	129
10052	0	442	123
10053	0	383	114
10054	0	406	146
10055	0	396	153
10056	0	393	168
10057	0	398	147
10058	0	382	153
10059	0	368	158
10060	0	332	160
10061	0	385	181
10062	0	398	195
10063	0	385	206
10064	0	397	199
10065	0	351	204
10066	0	427	195
10067	0	-1	-1
10068	0	-1	-1
10069	0	466	119
10070	0	470	124
10071	0	467	132
10072	0	478	133
10073	0	488	131
10074	0	478	127
10075	0	464	122
10076	0	458	118
10077	0	456	115
10078	0	459	117
10079	0	455	125
10080	0	460	122
10081	0	459	125
10082	0	458	123
10083	0	448	126
10084	0	480	132
10085	0	490	135
10086	0	442	134
10087	0	463	129
10088	0	468	135
10089	0	468	135
10090	0	477	130
10091	0	469	140
10092	0	467	135
10093	0	465	136
10094	0	468	136
10095	0	470	139
10096	0	466	137
10097	0	462	136
10098	0	465	137
10099	0	470	141
10100	0	468	140
10101	0	474	133
10102	0	546	126
10103	0	589	109
10104	0	-1	-1
10105	0	669	152
10106	0	661	161
10107	0	654	159
10108	0	647	151
10109	0	665	163
10110	0	666	159
10111	0	678	163
10112	0	678	159
10113	0	637	168
10114	0	635	169
10115	0	648	162
10116	0	674	169
10117	0	652	166
10118	0	687	156
10119	0	629	168
10120	0	668	159
10121	0	632	168
10122	0	685	150
10123	0	682	151
10124	0	681	162
10125	0	667	141
10126	0	-1	-1
10127	0	-1	-1
10128	0	-1	-1
10129	0	448	133
10130	0	451	133
10131	0	453	144
10132	0	462	152
10133	0	462	140
10134	0	463	137
10135	0	459	140
10136	0	452	137
10137	0	458	141
10138	0	460	129
10139	0	471	119
10140	0	450	129
10141	0	463	134
10142	0	472	136
10143	0	467	135
10144	0	466	136
10145	0	469	134
10146	0	453	139
10147	0	462	138
10148	0	458	140
10149	0	456	142
10150	0	452	138
10151	0	-1	-1
10152	0	-1	-1
10153	0	-1	-1
10154	0	405	165
10155	0	335	164
10156	0	368	164
10157	0	388	157
10158	0	361	162
10159	0	369	174
10160	0	318	178
10161	0	368	169
10162	0	321	191
10163	0	375	160
10164	0	353	178
10165	0	347	162
10166	0	366	169
10167	0	372	167
10168	0	411	151
10169	0	440	132
10170	0	458	126
10171	0	448	141
10172	0	451	141
10173	0	450	137
10174	0	457	138
10175	0	446	139
10176	0	462	143
10177	0	449	141
10178	0	454	140
10179	0	460	145
10180	0	463	138
10181	0	475	132
10182	0	454	141
10183	0	469	139
10184	0	449	125
10185	0	461	127
10186	0	456	137
10187	0	457	143
10188	0	451	133
10189	0	468	146
10190	0	460	145
10191	0	472	149
10192	0	506	141
10193	0	512	151
10194	0	515	159
10195	0	511	159
10196	0	511	165
10197	0	-1	-1
10198	0	-1	-1
10199	0	459	138
10200	0	464	134
10201	0	462	139
10202	0	462	140
10203	0	466	146
10204	0	460	137
10205	0	454	134
10206	0	465	136
10207	0	458	147
10208	0	454	141
10209	0	456	142
10210	0	463	142
10211	0	456	142
10212	0	463	140
10213	0	500	128
10214	0	571	130
10215	0	586	132
10216	0	583	125
10217	0	584	127
10218	0	575	127
10219	0	591	116
10220	0	570	130
10221	0	570	124
10222	0	580	122
10223	0	594	120
10224	0	581	118
10225	0	593	119
10226	0	593	119
10227	0	582	115
10228	0	585	113
10229	0	582	117
10230	0	561	122
10231	0	595	107
10232	0	577	113
10233	0	587	112
10234	0	590	110
10235	0	523	107
10236	0	-1	-1
10237	0	440	127
10238	0	466	132
10239	0	463	136
10240	0	462	133
10241	0	460	137
10242	0	456	132
10243	0	457	129
10244	0	449	133
10245	0	454	134
10246	0	499	121
10247	0	566	118
10248	0	583	103
10249	0	591	103
10250	0	593	99
10251	0	591	97
10252	0	578	97
10253	0	575	103
10254	0	575	104
10255	0	596	104
10256	0	580	110
10257	0	589	101
10258	0	592	98
10259	0	589	101
10260	0	587	101
10261	0	511	111
10262	0	522	120
10263	0	442	119
10264	0	459	127
10265	0	458	128
10266	0	456	129
10267	0	453	136
10268	0	451	132
10269	0	453	137
10270	0	449	138
10271	0	454	133
10272	0	457	135
10273	0	454	133
10274	0	454	136
10275	0	449	137
10276	0	453	133
10277	0	454	137
10278	0	469	162
10279	0	458	152
10280	0	468	163
10281	0	461	154
10282	0	456	165
10283	0	454	155
10284	0	446	160
10285	0	440	154
10286	0	436	151
10287	0	416	147
10288	0	421	151
10289	0	423	154
10290	0	416	147
10291	0	418	147
10292	0	423	151
10293	0	414	149
10294	0	413	147
10295	0	411	147
10296	0	411	146
10297	0	412	146
10298	0	413	148
10299	0	413	147
10300	0	409	146
10301	0	-1	-1
10302	0	440	121
10303	0	447	127
10304	0	458	128
10305	0	459	131
10306	0	454	134
10307	0	453	134
10308	0	454	133
10309	0	450	134
10310	0	450	131
10311	0	453	134
10312	0	456	129
10313	0	451	128
10314	0	450	129
10315	0	451	130
10316	0	451	128
10317	0	452	132
10318	0	450	129
10319	0	449	129
10320	0	445	131
10321	0	448	128
10322	0	447	129
10323	0	446	130
10324	0	446	128
10325	0	492	120
10326	0	576	111
10327	0	586	111
10328	0	574	118
10329	0	595	114
10330	0	577	117
10331	0	583	105
10332	0	590	116
10333	0	583	112
10334	0	586	105
10335	0	583	106
10336	0	585	104
10337	0	587	106
10338	0	585	106
10339	0	582	109
10340	0	582	105
10341	0	583	104
10342	0	579	127
10343	0	583	107
10344	0	577	109
10345	0	545	114
10346	0	547	109
10347	0	451	116
10348	0	452	125
10349	0	457	127
10350	0	456	128
10351	0	449	129
10352	0	453	129
10353	0	446	128
10354	0	451	132
10355	0	450	130
10356	0	459	128
10357	0	460	107
10358	0	544	108
10359	0	575	113
10360	0	586	116
10361	0	582	109
10362	0	589	116
10363	0	579	108
10364	0	561	113
10365	0	572	108
10366	0	583	109
10367	0	586	105
10368	0	587	106
10369	0	569	114
10370	0	568	111
10371	0	585	105
10372	0	564	114
10373	0	556	106
10374	0	533	114
10375	0	449	121
10376	0	451	125
10377	0	457	128
10378	0	451	128
10379	0	449	125
10380	0	446	127
10381	0	449	132
10382	0	441	130
10383	0	450	129
10384	0	452	128
10385	0	450	128
10386	0	448	128
10387	0	450	128
10388	0	438	130
10389	0	440	128
10390	0	438	132
10391	0	448	127
10392	0	447	128
10393	0	446	130
10394	0	448	128
10395	0	444	129
10396	0	442	127
10397	0	464	128
10398	0	540	112
10399	0	583	114
10400	0	568	118
10401	0	587	116
10402	0	570	109
10403	0	583	107
10404	0	576	109
10405	0	559	111
